step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
59,movement,movement_0059,h2a1,100.0,-100.0,200.0,0.07576568547998053,0.18634943545306618,-0.11640394734009019,-0.11640394734009019,1,,0,frozen,curriculum,,0.0,907.261548899929
60,movement,movement_0060,e3a1,100.0,-100.0,200.0,0.07576568547998053,0.18082024795441187,-0.11058374997308565,-0.11058374997308565,1,,0,frozen,curriculum,,0.0,908.7444495999953
61,movement,movement_0061,e5a1,100.0,-100.0,200.0,0.07576568547998053,0.1755675198306903,-0.10505456247443135,-0.10505456247443135,1,,0,frozen,curriculum,,0.0,910.9357699999819
62,movement,movement_0062,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.1705774281131548,-0.09980183435070977,-0.09980183435070977,1,,0,frozen,curriculum,,0.0,913.0725669999374
63,movement,movement_0063,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.16583684098149606,-0.09481174263317427,-0.09481174263317427,1,,0,frozen,curriculum,,0.0,915.1290059000021
64,movement,movement_0064,a6a1,100.0,100.0,0.0,1.0,0.20754499893242123,0.8341631590185039,0.8341631590185039,1,,1,frozen,curriculum,,0.0,917.389754600008
65,movement,movement_0065,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.2009560332597992,-0.1317793134524407,-0.1317793134524407,1,,0,frozen,curriculum,,0.0,919.7100293999538
66,movement,movement_0066,h6a1,100.0,-100.0,200.0,0.07576568547998053,0.19469651587080825,-0.12519034777981866,-0.12519034777981866,1,,0,frozen,curriculum,,0.0,921.0050646000309
67,movement,movement_0067,b7a1,100.0,-100.0,200.0,0.07576568547998053,0.18874997435126684,-0.11893083039082772,-0.11893083039082772,1,,0,frozen,curriculum,,0.0,922.987478199997
68,movement,movement_0068,g7a1,100.0,100.0,0.0,1.0,0.2293124756337035,0.8112500256487332,0.8112500256487332,1,,1,frozen,curriculum,,0.0,925.6714360999176
69,movement,movement_0069,h8a1,100.0,-100.0,200.0,0.07576568547998053,0.22163513612601732,-0.15354679015372297,-0.15354679015372297,1,,0,frozen,curriculum,,0.0,927.7236341999378
70,movement,movement_0070,f7a1,100.0,-100.0,200.0,0.07576568547998053,0.21434166359371545,-0.1458694506460368,-0.1458694506460368,1,,0,frozen,curriculum,,0.0,929.9376445999369
71,movement,movement_0071,a7a1,100.0,-100.0,200.0,0.07576568547998053,0.2074128646880287,-0.13857597811373493,-0.13857597811373493,1,,0,frozen,curriculum,,0.0,932.1747972000157
72,movement,movement_0072,f7a1,100.0,-100.0,200.0,0.07576568547998053,0.20083050572762626,-0.13164717920804817,-0.13164717920804817,1,,0,frozen,curriculum,,0.0,934.3538590000244
73,movement,movement_0073,h4g6,100.0,100.0,0.0,1.0,0.24078898044124492,0.7991694942723737,0.7991694942723737,1,,1,frozen,curriculum,,0.0,936.2664486999856
74,movement,movement_0074,e4a1,100.0,-100.0,200.0,0.07576568547998053,0.2325378156931817,-0.1650232949612644,-0.1650232949612644,1,,0,frozen,curriculum,,0.0,938.3508422999876
75,movement,movement_0075,g1a1,100.0,-100.0,200.0,0.07576568547998053,0.22469920918252162,-0.15677213021320116,-0.15677213021320116,1,,0,frozen,curriculum,,0.0,940.7414272000315
76,movement,movement_0076,g2a1,100.0,-100.0,200.0,0.07576568547998053,0.21725253299739455,-0.1489335237025411,-0.1489335237025411,1,,0,frozen,curriculum,,0.0,942.8170381999807
77,movement,movement_0077,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.21017819062152385,-0.14148684751741403,-0.14148684751741403,1,,0,frozen,curriculum,,0.0,944.872931299964
78,movement,movement_0078,a3a1,100.0,-100.0,200.0,0.07576568547998053,0.20345756536444667,-0.13441250514154332,-0.13441250514154332,1,,0,frozen,curriculum,,0.0,946.2025890999939
79,movement,movement_0079,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.19707297137022337,-0.12769187988446615,-0.12769187988446615,1,,0,frozen,curriculum,,0.0,948.3310733999824
80,movement,movement_0080,e4a1,100.0,-100.0,200.0,0.07576568547998053,0.1910076070757112,-0.12130728589024284,-0.12130728589024284,1,,0,frozen,curriculum,,0.0,950.4151648000116
81,movement,movement_0081,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.18524551099592465,-0.11524192159573068,-0.11524192159573068,1,,0,frozen,curriculum,,0.0,952.6156490999274
82,movement,movement_0082,f1a1,100.0,-100.0,200.0,0.07576568547998053,0.17977151972012742,-0.10947982551594412,-0.10947982551594412,1,,0,frozen,curriculum,,0.0,955.2525197999785
83,movement,movement_0083,g7g6,100.0,100.0,0.0,1.0,0.22078294373412105,0.8202284802798726,0.8202284802798726,1,,1,frozen,curriculum,,0.0,957.7502534999512
84,movement,movement_0084,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.213532080821414,-0.14501725825414052,-0.14501725825414052,1,,0,frozen,curriculum,,0.0,959.2255836999975
85,movement,movement_0085,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.20664376105434232,-0.13776639534143348,-0.13776639534143348,1,,0,frozen,curriculum,,0.0,961.6013436999638
86,movement,movement_0086,c3a1,100.0,100.0,0.0,1.0,0.2463115730016252,0.7933562389456577,0.7933562389456577,1,,1,frozen,curriculum,,0.0,964.1828087000176
