game_index,ply,fen,fly_color,last_move,last_actor,white_cp,white_mate,fly_cp,fly_mate,analysis_depth,analyzed_at_utc
0,120,4r3/2R1b3/2P3kr/N2b1nN1/P1P1p2p/4P2P/7K/8 w - - 5 61,white,f8e7,minic,-845,,-845,,18,2026-09-13T20:46:57+00:00
0,121,4r3/R3b3/2P3kr/N2b1nN1/P1P1p2p/4P2P/7K/8 b - - 6 61,white,c7a7,fly,-851,,-851,,18,2026-09-13T20:46:59+00:00
0,122,4r2r/R3b3/2P3k1/N2b1nN1/P1P1p2p/4P2P/7K/8 w - - 7 62,white,h6h8,minic,-806,,-806,,18,2026-09-13T20:47:01+00:00
0,123,4r2r/R3b3/2P3k1/N2b1n2/P1P1N2p/4P2P/7K/8 b - - 0 62,white,g5e4,fly,-997,,-997,,18,2026-09-13T20:47:03+00:00
0,124,4r2r/R7/2Pb2k1/N2b1n2/P1P1N2p/4P2P/7K/8 w - - 1 63,white,e7d6,minic,-632,,-632,,18,2026-09-13T20:47:06+00:00
0,125,4r2r/R7/2Pb2k1/N2b1n2/P1P1N2p/4P2P/8/7K b - - 2 63,white,h2h1,fly,-1625,,-1625,,18,2026-09-13T20:47:07+00:00
0,126,4r2r/R7/2P3k1/N2b1n2/P1P1N2p/b3P2P/8/7K w - - 3 64,white,d6a3,minic,-835,,-835,,18,2026-09-13T20:47:08+00:00
0,127,4r2r/4R3/2P3k1/N2b1n2/P1P1N2p/b3P2P/8/7K b - - 4 64,white,a7e7,fly,-1176,,-1176,,18,2026-09-13T20:47:10+00:00
0,128,4r2r/4Rb2/2P3k1/N4n2/P1P1N2p/b3P2P/8/7K w - - 5 65,white,d5f7,minic,-781,,-781,,18,2026-09-13T20:47:11+00:00
0,129,4r2r/4Rb2/2P3k1/N1P2n2/P3N2p/b3P2P/8/7K b - - 0 65,white,c4c5,fly,-1260,,-1260,,18,2026-09-13T20:47:12+00:00
0,130,3r3r/4Rb2/2P3k1/N1P2n2/P3N2p/b3P2P/8/7K w - - 1 66,white,e8d8,minic,-708,,-708,,18,2026-09-13T20:47:14+00:00
0,131,3rR2r/5b2/2P3k1/N1P2n2/P3N2p/b3P2P/8/7K b - - 2 66,white,e7e8,fly,-1333,,-1333,,18,2026-09-13T20:47:16+00:00
0,132,4R2r/5b2/2P3k1/N1P2n2/P3N2p/b3P2P/3r4/7K w - - 3 67,white,d8d2,minic,-648,,-648,,18,2026-09-13T20:47:21+00:00
0,133,5R1r/5b2/2P3k1/N1P2n2/P3N2p/b3P2P/3r4/7K b - - 4 67,white,e8f8,fly,-1810,,-1810,,18,2026-09-13T20:47:23+00:00
0,134,5R1r/5b2/2P3k1/N1P2n2/P3N2p/b3P2P/6r1/7K w - - 5 68,white,d2g2,minic,-419,,-419,,18,2026-09-13T20:47:30+00:00
0,135,3R3r/5b2/2P3k1/N1P2n2/P3N2p/b3P2P/6r1/7K b - - 6 68,white,f8d8,fly,-875,,-875,,18,2026-09-13T20:47:31+00:00
0,136,3R3r/5bk1/2P5/N1P2n2/P3N2p/b3P2P/6r1/7K w - - 7 69,white,g6g7,minic,-35,,-35,,18,2026-09-13T20:47:33+00:00
0,137,3R3r/2P2bk1/8/N1P2n2/P3N2p/b3P2P/6r1/7K b - - 0 69,white,c6c7,fly,-30,,-30,,18,2026-09-13T20:47:34+00:00
0,138,3R3r/2P1nbk1/8/N1P5/P3N2p/b3P2P/6r1/7K w - - 1 70,white,f5e7,minic,-27,,-27,,18,2026-09-13T20:47:35+00:00
0,139,3R3r/2P1nbk1/8/N1P5/P6p/b3P1NP/6r1/7K b - - 2 70,white,e4g3,fly,-843,,-843,,18,2026-09-13T20:47:38+00:00
0,140,3R2nr/2P2bk1/8/N1P5/P6p/b3P1NP/6r1/7K w - - 3 71,white,e7g8,minic,679,,679,,18,2026-09-13T20:47:38+00:00
0,141,2BR2nr/5bk1/8/N1P5/P6p/b3P1NP/6r1/7K b - - 0 71,white,c7c8b,fly,-845,,-845,,18,2026-09-13T20:47:40+00:00
0,142,2BR2nr/6k1/8/N1P5/P1b4p/b3P1NP/6r1/7K w - - 1 72,white,f7c4,minic,517,,517,,18,2026-09-13T20:47:41+00:00
0,143,2B3nr/6k1/8/N1PR4/P1b4p/b3P1NP/6r1/7K b - - 2 72,white,d8d5,fly,-803,,-803,,18,2026-09-13T20:47:42+00:00
0,144,2B3nr/6k1/8/N1PR4/P1b4p/4P1NP/6r1/2b4K w - - 3 73,white,a3c1,minic,478,,478,,18,2026-09-13T20:47:45+00:00
0,145,2B3nr/6k1/8/2PR4/P1b4p/1N2P1NP/6r1/2b4K b - - 4 73,white,a5b3,fly,-842,,-842,,18,2026-09-13T20:47:46+00:00
0,146,2B3nr/6k1/8/2PR4/P6p/1N1bP1NP/6r1/2b4K w - - 5 74,white,c4d3,minic,510,,510,,18,2026-09-13T20:47:49+00:00
0,147,2B3nr/6k1/8/2P3R1/P6p/1N1bP1NP/6r1/2b4K b - - 6 74,white,d5g5,fly,-25,,-25,,18,2026-09-13T20:47:51+00:00
