position_id,source_game_id,phase,ply,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,b2b3,-21.0,-0.05245181874413747,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,c2c3,-22.0,-0.05494460868918742,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,a2a4,-24.0,-0.059928103529143496,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,e2e3,-25.0,-0.062418746747512514,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,b1c3,-29.0,-0.07237324046358946,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,a2a3,-32.0,-0.07982976911113136,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,f2f4,-36.0,-0.0897577847471601,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,h3f1,-44.0,-0.10955847021442953,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,b1a3,-48.0,-0.11942729853438588,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,b2b4,-49.0,-0.12189090064943241,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,h3g4,-57.0,-0.14154322378898346,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,e1f1,-58.0,-0.14399226586303726,0,23
