position_id,source_game_id,split,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3d5,-828.0,-0.9686534238679029,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,d2d3,-830.0,-0.9689604868431823,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,h2h1,-831.0,-0.9691129062420462,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,g1h3,-836.0,-0.9698640203788144,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,e2d1,-837.0,-0.970012070553968,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,e2e1,-849.0,-0.9717337500730344,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3f4,-911.0,-0.9791898083012212,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3f5,-916.0,-0.9796983982280145,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3e4,-934.0,-0.9814295085966689,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3c6,-957.0,-0.9834301788405615,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3h5,-987.0,-0.9857217453407103,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3g4,-1069.0,-0.9905014243289433,0,32
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,c6e7,-30.0,-0.07485969068749909,1,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g6f7,-35.0,-0.08727737447415772,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g8e7,-38.0,-0.09471523628617855,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g6h7,-39.0,-0.09719221716626866,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,b7b6,-48.0,-0.11942729853438588,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,d7d6,-49.0,-0.12189090064943241,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,d8e7,-57.0,-0.14154322378898346,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,a7a5,-58.0,-0.14399226586303726,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,d7d5,-58.0,-0.14399226586303726,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,e6e5,-60.0,-0.14888503362331798,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,h6h5,-60.0,-0.14888503362331798,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,c6e5,-65.0,-0.1610846096413192,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,f6f5,-74.0,-0.18291795686556014,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,a7a6,-79.0,-0.19497153165403217,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g7f8,-83.0,-0.2045723537772613,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,b7b5,-85.0,-0.20935816942801874,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,d8e8,-88.0,-0.21651806149302882,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,a8b8,-110.0,-0.2682711820216014,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,c6b8,-112.0,-0.27290508056313273,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,d8f8,-112.0,-0.27290508056313273,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,h8h7,-129.0,-0.31176568241562735,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g5g4,-334.0,-0.6831516423100883,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g6f5,-491.0,-0.8418526462603199,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,c6b4,-576.0,-0.8936977272038725,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,g6h5,-614.0,-0.9112763448216872,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,c6a5,-734.0,-0.9503129117179926,0,27
2853,generated_0057,train,r1bq2nr/pppp2b1/2n1ppkp/6p1/NP6/2PP3P/P2BPPP1/R2QKBNR b KQ - 0 10,black,c6d4,-780.0,-0.960319388531845,0,27
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,c7c5,96.0,0.23549574953849794,1,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,a7a5,95.0,0.2331330090426386,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,g8f6,94.0,0.23076751278236432,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,d7f6,82.0,0.20217575769673954,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,d6d5,80.0,0.197375320224904,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,d8e7,78.0,0.1925653985935757,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,a7a6,76.0,0.18774620586828542,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,c8b7,62.0,0.15377052226409266,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,d8f6,56.0,0.13909244787845804,0,28
2854,generated_0057,train,r1bqkbnr/p1pn2pp/1p1pp3/5p2/PP1P1P1P/4P3/2P1K1P1/RNBQ1BNR b kq - 3 10,black,e6e5,46.0,0.11449570919711116,0,28
