game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_001_opening_008_1,matchup_001,opening_008,r1bq1bnr/pppkpppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQK1NR w KQ - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2554668000084348,complete,,8
matchup_001_opening_009_0,matchup_001,opening_009,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.25762610003584996,complete,,9
matchup_001_opening_009_1,matchup_001,opening_009,rnbq1bnr/p1ppkp1p/1p4p1/4p3/8/3P2P1/PPPNPP1P/RNBQKB1R w KQ - 2 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.26817530003609136,complete,,9
matchup_001_opening_010_0,matchup_001,opening_010,rn1qkbnr/1pp1ppp1/p6p/3p1b2/2P2P2/P6N/1P1PP1PP/RNBQKB1R w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.29284090001601726,complete,,10
matchup_001_opening_010_1,matchup_001,opening_010,rn1qkbnr/1pp1ppp1/p6p/3p1b2/2P2P2/P6N/1P1PP1PP/RNBQKB1R w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2792580000241287,complete,,10
matchup_001_opening_011_0,matchup_001,opening_011,r1bqkbnr/pp1p2pp/n1p1p3/5p2/P2P1B2/8/1PP1PPPP/RN1QKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.25194440002087504,complete,,11
matchup_001_opening_011_1,matchup_001,opening_011,r1bqkbnr/pp1p2pp/n1p1p3/5p2/P2P1B2/8/1PP1PPPP/RN1QKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.25289750000229105,complete,,11
matchup_001_opening_012_0,matchup_001,opening_012,r1bqkbnr/ppppppp1/8/7p/Q1P3P1/1P1n4/P2PPP1P/RNB1KBNR w KQkq - 1 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2397929999860935,complete,,12
matchup_001_opening_012_1,matchup_001,opening_012,r1bqkbnr/ppppppp1/8/7p/Q1P3P1/1P1n4/P2PPP1P/RNB1KBNR w KQkq - 1 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.258953400014434,complete,,12
matchup_001_opening_013_0,matchup_001,opening_013,rnbqkbnr/ppp3pp/4pp2/3p4/8/2PP4/PP2PPPP/RNBQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2649634999688715,complete,,13
matchup_001_opening_013_1,matchup_001,opening_013,rnbqkbnr/ppp3pp/4pp2/3p4/8/2PP4/PP2PPPP/RNBQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.27785660000517964,complete,,13
matchup_001_opening_014_0,matchup_001,opening_014,rnbqk1nr/ppppp2p/6pb/8/2P2pPP/P7/1P1PPP2/RNBQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.28192669997224584,complete,,14
matchup_001_opening_014_1,matchup_001,opening_014,rnbqk1nr/ppppp2p/6pb/8/2P2pPP/P7/1P1PPP2/RNBQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.265676099981647,complete,,14
matchup_001_opening_015_0,matchup_001,opening_015,rnb1kbnr/1ppp1pp1/8/p2Pp2p/4P2q/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2761694999644533,complete,,15
matchup_001_opening_015_1,matchup_001,opening_015,rnb1kbnr/1ppp1pp1/8/p2Pp2p/4P2q/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2662664000527002,complete,,15
matchup_001_opening_016_0,matchup_001,opening_016,rn1qkbnr/p2pppp1/b7/1pP4p/5P2/8/PPP1PKPP/RNBQ1BNR w kq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.25970900000538677,complete,,16
matchup_001_opening_016_1,matchup_001,opening_016,rn1qkbnr/p2pppp1/b7/1pP4p/5P2/8/PPP1PKPP/RNBQ1BNR w kq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2603349999990314,complete,,16
