population_id,anatomical_family,population_role,population_size,depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,effective_rank,within_position_candidate_distance,mean_train_feature_std,mean_validation_score_margin_proxy
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,4,0.7102303160149973,0.0859375,0.296875,5105.5546875,13.875,0.18179880824930994,0.12678875192311448,0.37269707303494215,0.006347909114448472,0.030655262817193163,8.531683921813965,4.107770048101857,0.9921873211860657,7.248966217041016
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,8,0.6869309051955008,0.109375,0.3203125,5095.90625,13.3203125,0.1663868803594606,0.11779384181522964,0.5227728988975286,1.0114577938891765e-06,0.023827922708441224,7.416824817657471,3.936833546473784,0.9999998807907104,7.446680545806885
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,16,0.6933583288698447,0.109375,0.34375,5096.328125,13.265625,0.1684410311507749,0.11806868856895324,0.46820490760728717,0.0,0.023246334476954945,7.817658424377441,4.096438684772868,1.0,6.584259986877441
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,32,0.7011247991430102,0.0859375,0.3203125,5093.703125,13.078125,0.17430278829473786,0.12115623884808231,0.4583512004464865,2.022915587778353e-06,0.023859277900051788,7.910470008850098,4.180871022768032,0.9999998807907104,6.875695705413818
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,64,0.6981788966256026,0.078125,0.2734375,5099.546875,13.109375,0.1687569086977751,0.11919920706583281,0.4960976899601519,1.0114577938891765e-06,0.02126488865872605,7.496955871582031,4.159861852156752,0.9999998807907104,6.90126895904541
readout_hdelta_family,hdelta_family,readout,189,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_hdelta_family,hdelta_family,readout,189,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_hdelta_family,hdelta_family,readout,189,4,0.6547937868237814,0.0390625,0.171875,4334.0078125,13.0078125,0.13623291066530308,0.09546517617780703,0.24747044662944973,0.20246794845448393,0.020710545568132312,7.864968299865723,4.0832930930626725,0.7460318803787231,7.642456531524658
readout_hdelta_family,hdelta_family,readout,189,8,0.6794322442420996,0.0625,0.265625,5113.6640625,13.7890625,0.16111497569456892,0.1138460228909171,0.4724407237954438,0.0,0.017149871629415905,7.419568061828613,4.209849629731057,0.9999998211860657,5.8753862380981445
readout_hdelta_family,hdelta_family,readout,189,16,0.695232994108195,0.078125,0.28125,5119.625,13.5390625,0.17103819819159588,0.11857861225072769,0.5355680899228901,0.0,0.019863875120218984,8.349189758300781,4.608929102982238,1.0,5.354879379272461
readout_hdelta_family,hdelta_family,readout,189,32,0.7003213711837172,0.0859375,0.28125,5135.3203125,14.1484375,0.1757905465144176,0.12180965086987033,0.5155761643545702,0.0,0.018245885154222805,8.294269561767578,4.5898695452105525,1.0,5.051335334777832
readout_hdelta_family,hdelta_family,readout,189,64,0.688805570433851,0.0625,0.234375,5129.4609375,13.9609375,0.15994112413435863,0.10836997534582436,0.5285894412081689,0.0,0.005315665595313446,3.56442928314209,3.6144309161207664,0.9999999403953552,3.9604456424713135
readout_lal,lal,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_lal,lal,readout,256,2,0.22147830744509908,0.0625,0.15625,4326.71875,13.484375,0.040064457242305354,0.030146036851612303,0.28508539544418454,0.8279672125841533,0.006695850595546349,13.806483268737793,1.5922155514230565,0.17187467217445374,3.440065383911133
readout_lal,lal,readout,256,4,0.7062131762185324,0.1171875,0.3359375,5871.4921875,12.5625,0.1866972347873395,0.1347089135916289,0.46216337219811976,1.0114577938891765e-06,0.0244186140600725,25.93998908996582,5.982714984957384,0.9999998807907104,12.880005836486816
readout_lal,lal,readout,256,8,0.711569362613819,0.1171875,0.3515625,4305.3046875,11.546875,0.19852193682554226,0.14354554724668472,0.4764570165425539,1.0114577938891765e-06,0.0219890924391507,25.7177677154541,5.880674947855695,0.9999998807907104,13.625399589538574
readout_lal,lal,readout,256,16,0.7171933583288699,0.125,0.34375,4299.78125,11.2265625,0.1994123584522592,0.14381811082744164,0.48218395840376616,1.0114577938891765e-06,0.021438859399274986,26.226375579833984,5.9336641367812994,0.9999998211860657,13.200498580932617
readout_lal,lal,readout,256,32,0.7150508837707552,0.1484375,0.3515625,4262.40625,10.0234375,0.1967734637774323,0.1417189202725481,0.4584045084193349,0.0,0.02153292497410668,26.4912109375,5.905126826102107,0.9999998807907104,13.165020942687988
readout_lal,lal,readout,256,64,0.7182645956079271,0.1328125,0.3515625,5049.1875,10.953125,0.19510157738484468,0.14112213968979093,0.4427603632211685,0.0,0.019496860435007767,25.009618759155273,5.828757864092829,0.9999998807907104,13.084982872009277
readout_lal_descending_combined,lal_descending_combined,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
