graph_index,body_id,role,superclass,class,subclass,type,flywire_type,hemibrain_type,manc_type,in_degree,out_degree,weighted_in_strength,weighted_out_strength,reciprocal_edge,input_reach_depth,output_reverse_distance
156480,818285,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta43,nan,nan,SNta43,6,35,1.0000001192092896,0.2599756419658661,1,0,2
156497,818321,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,campaniform sensilla,SApp08,nan,nan,SApp08,5,29,1.0,0.14562056958675385,0,0,2
156511,818346,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,nan,nan,nan,nan,29,79,1.0000001192092896,1.0590016841888428,1,0,1
156634,818585,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,11,34,0.9999999403953552,0.7917282581329346,1,0,2
156644,818605,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta44,nan,nan,SNta44,6,47,0.9999999403953552,0.3652142882347107,1,0,2
156685,818693,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,11,29,1.0,0.570163369178772,1,0,2
156693,818714,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,chordotonal organ,SNpp40,nan,nan,SNpp40,12,97,1.0,2.0828075408935547,1,0,2
156694,818716,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta28,nan,nan,SNta28,5,44,1.0,0.49879196286201477,1,0,2
156847,819074,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta26,nan,nan,SNta26,2,42,1.0,0.15887737274169922,0,0,2
156907,819240,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta40,nan,nan,SNta40,2,14,1.0,0.32294797897338867,0,0,2
156934,819314,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta20,nan,nan,SNta20,10,64,1.0,0.501607358455658,1,0,2
156953,819353,baseline_sensory,vnc_sensory,unknown_sensory,leg,nan,nan,nan,nan,3,11,1.0,0.09782592207193375,0,0,2
156990,819449,baseline_sensory,vnc_sensory,unknown_sensory,leg,SNxxxx,nan,nan,SNxxxx,0,21,0.0,0.2889264225959778,0,0,2
157031,819542,baseline_sensory,vnc_sensory,unknown_sensory,mechanosensory bristle,SNta41,nan,nan,SNta41,4,11,1.0,0.35546937584877014,1,0,2
157054,819594,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG3,nan,nan,SNch09,6,18,1.0,0.13999101519584656,1,0,1
157074,819648,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx04,nan,nan,SNxx04,8,20,1.0000001192092896,0.28456705808639526,1,0,2
157075,819650,baseline_sensory,vnc_sensory,mechanosensory_tactile,leg,SNta32,nan,nan,SNta32,8,29,1.0,0.7391995191574097,1,0,1
157121,819807,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,nan,nan,nan,nan,9,25,1.0,1.773802399635315,1,0,2
157149,819891,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta45,nan,nan,SNta45,6,21,1.0,0.06669867038726807,1,0,2
157268,820346,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta42,nan,nan,SNta42,7,42,1.0000001192092896,0.16421593725681305,1,0,2
157338,820620,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG3,nan,nan,SNch05,0,11,0.0,0.519934356212616,0,0,2
157366,820746,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta38,nan,nan,SNta38,1,25,1.0,0.055600862950086594,0,0,2
157374,820767,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG2,nan,nan,SNxxxx,10,20,0.9999999403953552,0.7089889049530029,1,0,2
157433,821004,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG1a,nan,nan,SNch05,4,22,1.0,0.5645315051078796,1,0,2
157449,821076,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta30,nan,nan,SNta30,0,17,0.0,0.027274208143353462,0,0,2
157450,821080,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta35,nan,nan,SNta35,3,18,1.0,0.38080060482025146,1,0,2
157512,821358,baseline_sensory,vnc_sensory,unknown_sensory,mechanosensory bristle,SNta41,nan,nan,SNta41,2,8,1.0,0.24708379805088043,0,0,2
157560,821678,baseline_sensory,vnc_sensory,unknown_sensory,mechanosensory bristle,SNta29,nan,nan,SNta29,0,11,0.0,0.03831476718187332,0,0,2
157631,822227,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,1,32,1.0,0.10688827186822891,0,0,2
157709,822804,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta42,nan,nan,SNta42,4,20,1.0,0.2509091794490814,1,0,2
157715,822850,baseline_sensory,vnc_sensory,mechanosensory_tactile,leg,SNta20,nan,nan,SNta20,3,43,1.0,0.1922190636396408,1,0,2
157742,823060,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx01,nan,nan,SNxx01,14,32,1.0,0.5210177302360535,1,0,2
157781,823433,baseline_sensory,sensory_ascending,unknown_sensory,abdomen,SAxx01,nan,nan,SAxx01,3,29,1.0,0.8418526649475098,1,0,2
157782,823459,baseline_sensory,vnc_sensory,mechanosensory_tactile,leg,SNta29,nan,nan,SNta29,0,16,0.0,0.36642447113990784,0,0,2
157789,823557,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,0,16,0.0,0.025673046708106995,0,0,2
157840,824134,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta39,nan,nan,SNta39,2,6,1.0,0.013606003485620022,0,0,2
157841,824165,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta28,nan,nan,SNta28,0,26,0.0,0.0949493944644928,0,0,2
157871,824567,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta35,nan,nan,SNta35,1,25,1.0,0.0980328842997551,0,0,2
157886,824777,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,3,9,1.0,0.45620197057724,1,0,2
157897,824909,baseline_sensory,vnc_sensory,unknown_sensory,mechanosensory bristle,SNta30,nan,nan,SNta30,2,4,1.0,0.018674645572900772,0,0,2
157918,825184,baseline_sensory,vnc_sensory,nan,taste bristle,SNch10,nan,nan,SNch10,11,43,1.0000001192092896,1.016592264175415,1,0,2
158100,828483,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,leg,nan,nan,nan,nan,2,24,1.0,0.14933301508426666,1,0,2
158103,828496,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,leg,SNppxx,nan,nan,SNppxx,2,22,1.0,0.2851387858390808,1,0,2
158104,828560,baseline_sensory,vnc_sensory,unknown_sensory,leg,nan,nan,nan,nan,12,45,1.0,1.8041107654571533,1,0,2
158118,828813,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta21,nan,nan,SNta21,1,19,1.0,0.16670840978622437,0,0,2
158142,829420,baseline_sensory,vnc_sensory,unknown_sensory,mechanosensory bristle,SNta29,nan,nan,SNta29,3,11,1.0,0.03999742120504379,1,0,2
158144,829493,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,"SNta27,SNta28",nan,nan,"SNta27,SNta28",1,27,1.0,0.2323504090309143,1,0,2
158169,829880,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta20,nan,nan,SNta20,1,15,1.0,0.031085116788744926,0,0,2
158224,831358,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta37,nan,nan,SNta37,1,11,1.0,0.5189252495765686,0,0,2
158239,832048,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG7,nan,nan,nan,1,5,1.0,0.01598670519888401,1,0,2
158242,832136,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta20,nan,nan,SNta20,4,30,1.0,0.6766091585159302,1,0,2
158268,833287,baseline_sensory,vnc_sensory,mechanosensory_tactile,leg,SNta37,nan,nan,SNta37,0,5,0.0,0.010449448600411415,0,0,2
158287,834571,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta42,nan,nan,SNta42,2,25,1.0,0.20106281340122223,0,0,1
158289,834651,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG2,nan,nan,SNch06,8,10,0.9999999403953552,0.26049843430519104,1,0,2
158310,836986,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,31,57,1.0,2.151226758956909,1,0,2
158331,839470,baseline_sensory,vnc_sensory,unknown_sensory,leg,SNxxxx,nan,nan,SNxxxx,0,2,0.0,0.009069092571735382,0,0,2
