population_id,anatomical_family,depth,population_size,within_position_candidate_distance,between_position_state_distance,effective_rank,participation_ratio,cka_to_depth_1,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,train_pair_accuracy,train_top1_accuracy,train_top3_accuracy,train_mean_teacher_regret_cp,train_mean_selected_teacher_rank,train_mean_spearman,train_mean_kendall,train_mean_score_margin,train_near_zero_unit_fraction,train_saturated_unit_fraction,train_validation_pair_accuracy_gap,train_validation_top1_accuracy_gap,train_validation_regret_gap_cp,state_norm_mean,delta_norm_mean,saturation_fraction,effective_rank_relative_to_depth_1,winner_switch_frequency_across_test_depth
readout_pfr,pfr,64,44,1.4317927931761238,7.552174645415792,1.9963403940200808,1.5112973890577002,0.0,0.6638993036957687,0.078125,0.28125,5125.5625,14.34375,0.1280078405939014,0.0874125585916507,0.1693481454858556,0.0,0.0077856503931076,0.7381631488876212,0.125,0.328125,1927.9375,13.3359375,0.1892563318169837,0.1368197753043116,0.1453693122602999,0.0,0.0040839045379496,0.0742638451918525,0.046875,3197.625,5.491475582122803,3.8448424339294434,0.0077856503931076,1996340.3940200808,0.28757440476190477
readout_pfl,pfl,1,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.29445684523809523
readout_pfl,pfl,2,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.29445684523809523
readout_pfl,pfl,4,52,2.656641190481709,9.19934158641604,5.324978828430176,3.276596318456208,0.0,0.644617032672737,0.109375,0.25,5065.1484375,12.53125,0.1492738355423418,0.1066452632764945,0.4747468032874167,0.0,0.0253953710711867,0.7378779235596121,0.171875,0.375,1123.625,11.1640625,0.2198764732806956,0.1601006262837392,0.5222165728919208,0.0,0.0151771728546632,0.0932608908868751,0.0625,3941.5234375,7.016729354858398,7.016729354858398,0.0253953710711867,5324978.828430176,0.29445684523809523
readout_pfl,pfl,8,52,1.9618269831095476,8.571247754504082,3.433318614959717,2.06557283348486,0.0,0.6580074986609534,0.09375,0.2890625,5071.1171875,12.328125,0.1577722414388047,0.1100432376954654,0.424575237557292,0.0,0.0243695972592917,0.7738163148887621,0.21875,0.4296875,1073.3671875,10.359375,0.2473919613295495,0.1791999752564443,0.5048420578241348,0.0,0.0203473603996443,0.1158088162278087,0.125,3997.75,6.227598190307617,5.809828758239746,0.0243695972592917,3433318.614959717,0.29445684523809523
readout_pfl,pfl,16,52,1.9738376831203768,8.525672906454187,3.5991199016571045,2.1643855491518464,0.0,0.6384574183181575,0.0625,0.25,5090.3671875,12.921875,0.1406325250937548,0.1006355294430002,0.451955156866461,0.0,0.0247330996295263,0.7746719908727895,0.15625,0.4140625,1128.0859375,12.078125,0.236457972122689,0.1753979346270932,0.5250241905450821,0.0,0.021035307565302,0.1362145725546319,0.09375,3962.28125,6.191323280334473,1.1945655345916748,0.0247330996295263,3599119.9016571045,0.29445684523809523
readout_pfl,pfl,32,52,2.01034941744118,8.510386820420848,3.539921283721924,2.125622185309102,0.0,0.6373861810391002,0.0625,0.234375,5105.5234375,13.1875,0.1287630367372797,0.0899430245223436,0.4631942356936633,0.0,0.0242899255069115,0.7738163148887621,0.1796875,0.3984375,1117.9140625,11.6015625,0.2227851574415278,0.1651168635378886,0.5163451191037893,0.0,0.0216650438169425,0.1364301338496619,0.1171875,3987.609375,6.166405200958252,1.0036088228225708,0.0242899255069115,3539921.283721924,0.29445684523809523
readout_pfl,pfl,64,52,1.947897331464588,9.004439078080797,2.974745035171509,1.8585079151315769,0.0,0.6430101767541511,0.078125,0.2421875,5135.078125,13.7578125,0.1312403855882101,0.0931424564763367,0.4427718040533364,0.0,0.0139325976974863,0.760125499144324,0.1796875,0.3671875,1124.65625,11.65625,0.2169879650142387,0.1595963469251842,0.4876564182341099,0.0,0.0113140849244316,0.1171153223901729,0.1015625,4010.421875,6.553693771362305,3.833279848098755,0.0139325976974863,2974745.035171509,0.29445684523809523
readout_mbon,mbon,1,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.3939732142857143
readout_mbon,mbon,2,97,0.4518638711303094,0.6445009183408776,2.2573859691619877,1.8857319813704905,0.0,0.0744509908944831,0.0859375,0.1484375,5108.5390625,15.390625,0.1244245657790449,0.1037147231673962,0.0,0.9690721649484536,0.0006112958939067,0.058471192241871,0.015625,0.0625,2765.4609375,16.6953125,0.1433402288529882,0.1195577964383063,0.0,0.9690721649484536,0.0005248256727697,-0.015979798652612,-0.0703125,2343.078125,0.7600865364074707,0.7600865364074707,0.0006112958939067,2257385.969161988,0.3939732142857143
