game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_016_opening_001_1,matchup_016,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=17,minic,Level=16,1/2-1/2,0.5,80,0.3168883000034839,complete,,1
matchup_017_opening_000_0,matchup_017,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=17,minic,Level=18,1/2-1/2,0.5,80,0.3335706000216305,complete,,0
matchup_017_opening_000_1,matchup_017,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=18,minic,Level=17,1/2-1/2,0.5,80,0.2837029999936931,complete,,0
matchup_017_opening_001_0,matchup_017,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=17,minic,Level=18,1/2-1/2,0.5,80,0.2885749999550171,complete,,1
matchup_017_opening_001_1,matchup_017,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=18,minic,Level=17,1/2-1/2,0.5,80,0.2976651999633759,complete,,1
matchup_018_opening_000_0,matchup_018,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=18,minic,Level=19,1/2-1/2,0.5,80,0.3870366999763064,complete,,0
matchup_018_opening_000_1,matchup_018,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=19,minic,Level=18,1/2-1/2,0.5,80,0.32056419999571517,complete,,0
matchup_018_opening_001_0,matchup_018,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=18,minic,Level=19,1/2-1/2,0.5,80,0.31787179998354986,complete,,1
matchup_018_opening_001_1,matchup_018,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=19,minic,Level=18,1/2-1/2,0.5,80,0.3115151999518275,complete,,1
matchup_019_opening_000_0,matchup_019,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=19,minic,Level=20,1/2-1/2,0.5,80,0.33372809999855235,complete,,0
matchup_019_opening_000_1,matchup_019,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=20,minic,Level=19,1/2-1/2,0.5,80,0.29859249998116866,complete,,0
matchup_019_opening_001_0,matchup_019,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=19,minic,Level=20,1/2-1/2,0.5,80,0.27430180000374094,complete,,1
matchup_019_opening_001_1,matchup_019,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=20,minic,Level=19,1/2-1/2,0.5,80,0.2689307000255212,complete,,1
matchup_020_opening_000_0,matchup_020,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=20,minic,Level=21,1/2-1/2,0.5,80,0.3049879999598488,complete,,0
matchup_020_opening_000_1,matchup_020,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=21,minic,Level=20,1/2-1/2,0.5,80,0.28277649998199195,complete,,0
matchup_020_opening_001_0,matchup_020,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=20,minic,Level=21,1/2-1/2,0.5,80,0.2758044999791309,complete,,1
matchup_020_opening_001_1,matchup_020,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=21,minic,Level=20,1/2-1/2,0.5,80,0.3793555999873206,complete,,1
matchup_021_opening_000_0,matchup_021,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=21,minic,Level=22,1/2-1/2,0.5,80,0.3201356999925338,complete,,0
matchup_021_opening_000_1,matchup_021,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=22,minic,Level=21,1/2-1/2,0.5,80,0.287007300008554,complete,,0
