step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
105,movement,movement_0105,h8a1,100.0,-100.0,200.0,0.07576568547998053,0.33070659167644584,-0.26835884862785825,-0.26835884862785825,1,,0,reward_aversive,curriculum,8.640376420897799e-06,0.053007731366287385,1029.4612999999663
106,movement,movement_0106,f1a1,100.0,-100.0,200.0,0.07576568547998053,0.31795954636662255,-0.2549409061964653,-0.2549409061964653,1,,0,reward_aversive,curriculum,6.912098882168449e-06,0.052726997133800364,1031.6385863999603
107,movement,movement_0107,a2d1,100.0,-100.0,200.0,0.07576568547998053,0.3058498533222904,-0.24219386088664202,-0.24219386088664202,1,,0,reward_aversive,curriculum,7.1426725506089735e-06,0.05210493073545911,1033.6575176999904
108,movement,movement_0108,c4a1,100.0,-100.0,200.0,0.07576568547998053,0.2943456449301749,-0.2300841678423099,-0.2300841678423099,1,,0,reward_aversive,curriculum,1.3020072272887032e-05,0.05084705726508286,1034.928603200009
109,movement,movement_0109,d2b3,100.0,100.0,0.0,1.0,0.32962836268366613,0.7056543550698251,0.7056543550698251,1,,1,reward_aversive,curriculum,1.409380846047257e-05,0.05510126504582266,1036.8407159999479
110,movement,movement_0110,e5a1,100.0,100.0,0.0,1.0,0.3631469445494828,0.6703716373163339,0.6703716373163339,1,,1,reward_aversive,curriculum,1.4390038268030124e-05,0.05889784626147864,1039.0607542999787
111,movement,movement_0111,b3a1,100.0,-100.0,200.0,0.07576568547998053,0.3487778815960077,-0.2873812590695023,-0.2873812590695023,1,,0,reward_aversive,curriculum,1.3741343177258854e-05,0.05695807445622811,1041.080772300018
112,movement,movement_0112,c6a1,100.0,-100.0,200.0,0.07576568547998053,0.3351272717902063,-0.2730121961160272,-0.2730121961160272,1,,0,reward_aversive,curriculum,1.3978159838845305e-05,0.05520833513465063,1043.5477484000148
113,movement,movement_0113,g7g6,100.0,100.0,0.0,1.0,0.36837090820069596,0.6648727282097937,0.6648727282097937,1,,1,reward_aversive,curriculum,1.9256428714000498e-05,0.060598936184498034,1046.020479299943
114,movement,movement_0114,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.3537406470646602,-0.29260522272071543,-0.29260522272071543,1,,0,reward_aversive,curriculum,8.476292322014148e-06,0.059672973079367794,1048.2878611000488
