edge_offset,pre_index,post_index,pre_body_id,post_body_id,original_weight,original_sign,pre_in_kc_manifest,post_in_mbon_manifest,pre_out_degree,post_in_degree
8243369,70423,131147,93065,525780,0.0003366625460330397,1,True,True,39,318
8243370,70383,131147,93017,525780,0.0008977667894214392,1,True,True,53,318
8243373,70084,131147,92633,525780,0.0007855459116399288,1,True,True,38,318
8243380,68601,131147,90649,525780,0.0003366625460330397,1,True,True,53,318
8243384,68234,131147,90153,525780,0.0005611042724922299,1,True,True,52,318
8243385,68186,131147,90091,525780,0.0004488833947107196,1,True,True,48,318
8243387,67903,131147,89707,525780,0.0004488833947107196,1,True,True,55,318
8243392,67244,131147,88834,525780,0.0004488833947107196,1,True,True,49,318
8243393,67222,131147,88808,525780,0.0005611042724922299,1,True,True,39,318
8243401,66260,131147,87533,525780,0.0004488833947107196,1,True,True,47,318
8243402,66101,131147,87334,525780,0.0003366625460330397,1,True,True,59,318
8243417,63901,131147,84446,525780,0.0003366625460330397,1,True,True,32,318
8243419,63862,131147,84400,525780,0.0004488833947107196,1,True,True,35,318
8243420,63738,131147,84247,525780,0.0003366625460330397,1,True,True,44,318
8243427,63233,131147,83611,525780,0.0005611042724922299,1,True,True,43,318
8243429,63132,131147,83481,525780,0.0006733250920660794,1,True,True,52,318
8243432,62812,131147,83072,525780,0.0003366625460330397,1,True,True,52,318
8243434,62566,131147,82761,525780,0.0003366625460330397,1,True,True,40,318
8243439,62102,131147,82192,525780,0.0003366625460330397,1,True,True,41,318
8243459,60173,131147,79793,525780,0.0008977667894214392,1,True,True,46,318
8243461,60093,131147,79690,525780,0.0004488833947107196,1,True,True,36,318
8243464,59593,131147,79052,525780,0.0006733250920660794,1,True,True,53,318
8243466,59161,131147,78512,525780,0.0005611042724922299,1,True,True,51,318
8243468,58910,131147,78194,525780,0.0008977667894214392,1,True,True,49,318
8243475,58307,131147,77409,525780,0.0013466501841321588,1,True,True,46,318
8243479,57886,131147,76889,525780,0.0008977667894214392,1,True,True,48,318
8243491,56973,131147,75782,525780,0.0011222085449844599,1,True,True,41,318
8243492,56971,131147,75780,525780,0.0013466501841321588,1,True,True,54,318
8243495,56870,131147,75650,525780,0.0004488833947107196,1,True,True,54,318
8243502,56387,131147,75070,525780,0.0003366625460330397,1,True,True,47,318
8243506,55950,131147,74531,525780,0.0006733250920660794,1,True,True,58,318
8243515,54840,131147,73146,525780,0.0006733250920660794,1,True,True,59,318
8243522,54087,131147,72196,525780,0.0006733250920660794,1,True,True,57,318
8243524,53939,131147,72002,525780,0.0004488833947107196,1,True,True,28,318
8243526,53554,131147,71530,525780,0.0005611042724922299,1,True,True,50,318
8243531,52912,131147,70740,525780,0.0004488833947107196,1,True,True,39,318
8243532,52809,131147,70614,525780,0.0004488833947107196,1,True,True,33,318
8243540,51839,131147,69426,525780,0.0004488833947107196,1,True,True,39,318
8243543,51662,131147,69210,525780,0.0007855459116399288,1,True,True,55,318
8243545,51483,131147,68979,525780,0.0003366625460330397,1,True,True,38,318
8243546,51278,131147,68729,525780,0.001683312701061368,1,True,True,53,318
8243550,50876,131147,68239,525780,0.0003366625460330397,1,True,True,36,318
8243552,50528,131147,67809,525780,0.0014588710619136691,1,True,True,40,318
8243554,50236,131147,67439,525780,0.0008977667894214392,1,True,True,50,318
8243558,49899,131147,67022,525780,0.0010099876672029495,1,True,True,50,318
8243566,48856,131147,65752,525780,0.0003366625460330397,1,True,True,61,318
8243567,48854,131147,65750,525780,0.0011222085449844599,1,True,True,50,318
8243568,48824,131147,65714,525780,0.0013466501841321588,1,True,True,44,318
